"","location","hits","keyword","geo","gprop","Latitude","Longitude"
"1","Davis",99,"depression","US-CA","web",38.544906,-121.740517
"2","Hemet",96,"depression","US-CA","web",33.747519,-116.971967
"3","Rialto",96,"depression","US-CA","web",34.1064,-117.370325
"4","Arcadia",96,"depression","US-CA","web",34.139728,-118.035344
"5","Clovis",92,"depression","US-CA","web",36.825228,-119.702919
"6","Merced",92,"depression","US-CA","web",37.302164,-120.482967
"7","Lancaster",92,"depression","US-CA","web",34.686786,-118.154164
"8","Lake Elsinore",91,"depression","US-CA","web",33.668078,-117.327261
"9","Palmdale",91,"depression","US-CA","web",34.579433,-118.116461
"10","El Cajon",89,"depression","US-CA","web",32.794772,-116.962528
"11","Brentwood",89,"depression","US-CA","web",34.057361,-118.480511
"12","Perris",88,"depression","US-CA","web",33.782519,-117.228647
"13","Hesperia",87,"depression","US-CA","web",34.426389,-117.300878
"14","Murrieta",87,"depression","US-CA","web",33.553914,-117.213922
"15","San Marcos",87,"depression","US-CA","web",33.143372,-117.166144
"16","Stanton",87,"depression","US-CA","web",33.802517,-117.993117
"17","Menifee",86,"depression","US-CA","web",33.678333,-117.166944
"18","Vacaville",84,"depression","US-CA","web",38.356578,-121.987744
"19","Fullerton",84,"depression","US-CA","web",33.870292,-117.925339
"20","Berkeley",84,"depression","US-CA","web",37.871592,-122.272747
"21","Cerritos",83,"depression","US-CA","web",33.858347,-118.064786
"22","West Covina",83,"depression","US-CA","web",34.068622,-117.938953
"23","Salinas",83,"depression","US-CA","web",36.677736,-121.6555
"24","Riverside",80,"depression","US-CA","web",33.95335,-117.396156
"25","Jurupa Valley",79,"depression","US-CA","web",33.999522,-117.475397
"26","Gilroy",79,"depression","US-CA","web",37.005783,-121.568275
"27","Santa Barbara",78,"depression","US-CA","web",34.420831,-119.698189
"28","Turlock",78,"depression","US-CA","web",37.494658,-120.846594
"29","Citrus Heights",78,"depression","US-CA","web",38.707125,-121.281061
"30","Redlands",77,"depression","US-CA","web",34.055569,-117.182539
"31","Elk Grove",77,"depression","US-CA","web",38.4088,-121.371617
"32","Mission Viejo",77,"depression","US-CA","web",33.600022,-117.671994
"33","Stockton",76,"depression","US-CA","web",37.957703,-121.290781
"34","Antioch",76,"depression","US-CA","web",38.004922,-121.805789
"35","Fresno",76,"depression","US-CA","web",36.746842,-119.772586
"36","Vallejo",75,"depression","US-CA","web",38.104086,-122.256636
"37","Alameda",75,"depression","US-CA","web",37.765206,-122.241636
"38","Chula Vista",75,"depression","US-CA","web",32.640053,-117.084197
"39","Bakersfield",74,"depression","US-CA","web",35.373292,-119.018711
"40","San Bernardino",74,"depression","US-CA","web",34.108344,-117.289764
"41","Ventura",74,"depression","US-CA","web",34.274639,-119.229006
"42","Fontana",74,"depression","US-CA","web",34.092233,-117.435047
"43","Thousand Oaks",74,"depression","US-CA","web",34.107231,-118.057847
"44","Walnut Creek",74,"depression","US-CA","web",37.910078,-122.065183
