City,Hits
Loma Linda,100
Arcata,88
Claremont,86
Rohnert Park,81
Clovis,79
Placentia,79
Goshen,78
Felton,78
Hesperia,78
Albany,77
Davis,77
Brentwood,76
Merced,76
Stanford,75
Atascadero,74
Auburn,74
Stanton,73
Menifee,73
San Marcos,73
Lake Elsinore,73
North Highlands,73
Vacaville,73
La Mesa,73
Santa Cruz,73
Bella Vista,73
Hemet,73
Perris,73
Walnut Creek,72
Lancaster,72
Chico,72
Fullerton,72
Victorville,72
Yucaipa,72
San Rafael,72
Alameda,72
Yuba City,72
Hanford,72
Vista,71
Lodi,71
Ramona,71
Santa Clarita,71
Murrieta,71
Morro Bay,71
Chino Hills,71
Chula Vista,71
Escondido,71
Rancho Palos Verdes,71
Whittier,70
San Clemente,70
Berkeley,70
Redlands,70
La Habra,70
Turlock,70
Glendora,70
Ventura,70
Camarillo,69
Santee,69
Corona,69
Santa Barbara,69
Palmdale,69
Pomona,69
Oxnard,69
Yorba Linda,69
Bakersfield,68
Calabasas,68
Eureka,68
Downey,68
Fresno,68
South Pasadena,67
Riverside,67
El Cajon,67
Castro Valley,67
Daly City,67
Cerritos,67
Moreno Valley,67
Fairfield,67
Covina,67
Modesto,67
Cypress,67
Gilroy,67
Rancho Cucamonga,67
Vallejo,66
Salinas,66
Carmichael,66
Petaluma,66
Long Beach,66
Antioch,66
Monrovia,66
Rowland Heights,66
Orangevale,66
Pleasant Hill,66
Oakland,66
South Gate,65
Thousand Oaks,65
Visalia,65
Manteca,65
Upland,65
Temecula,65
La Mirada,65
Pasadena,65
Huntington Beach,65
Buena Park,65
Stockton,65
Hayward,64
San Bernardino,64
Redding,64
Newark,64
Concord,64
Montebello,64
Walnut,64
Santa Rosa,64
San Gabriel,64
Roseville,64
Baldwin Park,64
Redondo Beach,64
Sacramento,64
Rocklin,64
Encinitas,64
Fontana,63
San Luis Obispo,63
Elk Grove,63
Richmond,63
Oceanside,63
Bellflower,63
Orange,62
West Covina,62
Glendale,62
Arcadia,62
Belmont,62
Carson,62
Monterey Park,62
Novato,62
Simi Valley,61
Inglewood,61
Palm Springs,61
San Carlos,61
Rancho Santa Margarita,61
Napa,61
Norwalk,61
San Diego,61
Garden Grove,60
Hacienda Heights,60
Alhambra,60
Rialto,60
Carlsbad,60
Yountville,60
Pico Rivera,60
Manhattan Beach,60
Mission Viejo,60
Compton,60
Costa Mesa,60
Monterey,59
Campbell,59
Hawthorne,59
Fountain Valley,59
Los Angeles,59
Palm Desert,59
Chino,59
Lake Forest,59
Larkspur,58
Cupertino,58
Livermore,58
Pleasanton,58
Ontario,58
Rancho Cordova,58
El Monte,58
Santa Monica,58
San Leandro,57
Tustin,57
Aliso Viejo,57
Gardena,57
Santa Ana,57
Newport Beach,57
Burbank,57
Union City,57
San Francisco,56
San Jose,56
San Mateo,55
Menlo Park,55
Irvine,55
Rosemead,55
Coronado,54
Brea,54
San Bruno,54
Palo Alto,54
West Hollywood,53
Foster City,53
Torrance,52
Anaheim,52
Poway,52
Fremont,52
Beverly Hills,51
Sunnyvale,50
South San Francisco,49
Mountain View,49
Culver City,49
San Ramon,48
Sanger,47
Redwood City,46
Santa Clara,42
